nome,tema,inteira,n_inicio,n_final,em_lei,nome_lei,link_princ_fonte
"AV. DO BATEL","Bares e restaurantes","Total",0,2500,"Não","N/A",https://www.curitiba.pr.gov.br/noticias/conheca-dez-roteiros-gastronomicos-de-curitiba/42974
"PC. GENERAL OSÓRIO","Bares e restaurantes","Total",0,500,"Não","N/A",https://www.gazetadopovo.com.br/curitiba/ippuc-acp-divergem-futuro-centro-curitiba/
"R. GENERAL MARIO TOURINHO","Lojas de automóveis","Total",0,2500,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"R. RIACHUELO","Brechós ou antiguidades","Total",0,550,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"R. BISPO DOM JOSÉ","Bares e restaurantes","Total",0,2900,"Não","N/A",https://www.curitiba.pr.gov.br/noticias/conheca-dez-roteiros-gastronomicos-de-curitiba/42974
"R. PROFESSOR ARTHUR LOYOLA","Bares e restaurantes","Total",0,400,"Sim","Alto Juvevê",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2017/1509/15098/lei-ordinaria-n-15098-2017-cria-o-polo-gastronomico-do-alto-juveve
"AV. MANOEL RIBAS","Decoração","Trecho",1700,5150,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"AV. MANOEL RIBAS","Restaurantes italianos","Trecho",3000,7371,"Sim","Pólo Gastronômico do Santa Felicidade",https://mid-turismo.curitiba.pr.gov.br/2019/10/pdf/00003802.pdf
"AL. DOUTOR CARLOS DE CARVALHO","Decoração","Trecho",610,1600,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"AL. DOUTOR CARLOS DE CARVALHO","Bares e restaurantes","Trecho",900,1390,"Sim","Petit Batel",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2020/1578/15780/lei-ordinaria-n-15780-2020-cria-o-polo-gastronomico-e-cultural-do-petit-batel
"R. COMENDADOR ARAÚJO","Bares e restaurantes","Trecho",590,1070,"Sim","Petit Batel",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2020/1578/15780/lei-ordinaria-n-15780-2020-cria-o-polo-gastronomico-e-cultural-do-petit-batel
"AV. IGUAÇÚ","Bares e restaurantes","Trecho",1800,2590,"Não","N/A",https://www.curitiba.pr.gov.br/noticias/conheca-dez-roteiros-gastronomicos-de-curitiba/42974
"AV. VICENTE MACHADO","Bares e restaurantes","Trecho",630,1145,"Sim","Petit Batel",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2020/1578/15780/lei-ordinaria-n-15780-2020-cria-o-polo-gastronomico-e-cultural-do-petit-batel
"AV. VISCONDE DE GUARAPUAVA","Motos e automotivos","Trecho",2320,2900,"Não","N/A",https://tribunapr.uol.com.br/noticias/parana/visconde-vira-polo-do-comercio-de-motocicletas/
"R. MATEUS LEME","Brechós ou antiguidades","Trecho",127,400,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"AV. PRESIDENTE GETÚLIO VARGAS","Decoração","Trecho",1370,2200,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"AV. COMENDADOR FRANCO","Churrascarias","Trecho",2900,6000,"Não","N/A",https://www.curitiba.pr.gov.br/noticias/conheca-dez-roteiros-gastronomicos-de-curitiba/42974
"R. 24 DE MAIO","Lojas de eletrônicos","Trecho",180,400,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"AV. JOÃO GUALBERTO","Bares e restaurantes","Trecho",1630,2140,"Sim","Alto Juvevê",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2017/1509/15098/lei-ordinaria-n-15098-2017-cria-o-polo-gastronomico-do-alto-juveve
"R. AUGUSTO STRESSER","Bares e restaurantes","Trecho",685,945,"Sim","Alto Juvevê",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2017/1509/15098/lei-ordinaria-n-15098-2017-cria-o-polo-gastronomico-do-alto-juveve
"R. DESEMBARGADOR MOTTA","Bares e restaurantes","Trecho",1880,2400,"Sim","Petit Batel",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2020/1578/15780/lei-ordinaria-n-15780-2020-cria-o-polo-gastronomico-e-cultural-do-petit-batel
"R. DOUTOR BLEY ZORNIG","Lojas de tecidos","Trecho",910,1900,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"R. ITUPAVA","Bares e restaurantes","Trecho",700,1740,"Sim","Itupava",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2016/1501/15010/lei-ordinaria-n-15010-2016-cria-o-polo-gastronomico-da-itupava?q=15010
"R. CORONEL DULCÍDIO","Bares e restaurantes","Trecho",130,705,"Sim","Petit Batel",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2020/1578/15780/lei-ordinaria-n-15780-2020-cria-o-polo-gastronomico-e-cultural-do-petit-batel
"R. ALFERES ANGELO SAMPAIO","Bares e restaurantes","Trecho",1400,2100,"Sim","Petit Batel",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2020/1578/15780/lei-ordinaria-n-15780-2020-cria-o-polo-gastronomico-e-cultural-do-petit-batel
"R. ANDRE DE BARROS","Lojas de cabelo","Trecho",800,955,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"AL. PRESIDENTE TAUNAY","Bares e restaurantes","Trecho",0,505,"Sim","Petit Batel",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2020/1578/15780/lei-ordinaria-n-15780-2020-cria-o-polo-gastronomico-e-cultural-do-petit-batel
"R. TRAJANO REIS","Bares e restaurantes","Trecho",0,400,"Não","N/A",https://www.gazetadopovo.com.br/pino/local/ruas-tematicas-em-curitiba-conheca-9-enderecos-para-comprar-comer-e-beber/?ref=busca
"R. CHILE","Bares e restaurantes","Trecho",1450,2330,"Sim","Água Verde",https://leismunicipais.com.br/a1/pr/c/curitiba/lei-ordinaria/2018/1516/15168/lei-ordinaria-n-15168-2018-cria-o-polo-gastronomico-do-agua-verde?r=p
"AL. PRUDENTE DE MORAES","Bares e restaurantes","Trecho",1190,1325,"Sim","Alameda Prudente de Moraes",https://mid-turismo.curitiba.pr.gov.br/2019/12/pdf/00004053.pdf
"R. ROCHA POMBO","Bares e restaurantes","Trecho",0,535,"Sim","Alto Juvevê",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2017/1509/15098/lei-ordinaria-n-15098-2017-cria-o-polo-gastronomico-do-alto-juveve
"AV. ÁGUA VERDE","Bares e restaurantes","Trecho",0,495,"Sim","Água Verde",https://leismunicipais.com.br/a1/pr/c/curitiba/lei-ordinaria/2018/1516/15168/lei-ordinaria-n-15168-2018-cria-o-polo-gastronomico-do-agua-verde?r=p
"AV. MUNHOZ DA ROCHA","Bares e restaurantes","Trecho",450,1140,"Sim","Alto Juvevê",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2017/1509/15098/lei-ordinaria-n-15098-2017-cria-o-polo-gastronomico-do-alto-juveve
"AL. DOM PEDRO II","Bares e restaurantes","Trecho",0,470,"Sim","Petit Batel",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2020/1578/15780/lei-ordinaria-n-15780-2020-cria-o-polo-gastronomico-e-cultural-do-petit-batel
"R. NILO CAIRO","Lojas de cabelo","Trecho",0,200,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"AV. DOS ESTADOS","Bares e restaurantes","Trecho",780,1330,"Não","N/A",https://www.plural.jor.br/gastronomia/avenida-dos-estados-polo-gastronomico-curitiba/
"R. PRESIDENTE CARLOS CAVALCANTI","Brechós ou antiguidades","Trecho",600,700,"Não","N/A",https://www.gazetadopovo.com.br/pino/local/ruas-tematicas-em-curitiba-conheca-9-enderecos-para-comprar-comer-e-beber/?ref=busca
"R. MOYSES MARCONDES","Bares e restaurantes","Trecho",340,580,"Sim","Alto Juvevê",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2017/1509/15098/lei-ordinaria-n-15098-2017-cria-o-polo-gastronomico-do-alto-juveve
"R. PAULA GOMES","Brechós ou antiguidades","Trecho",0,480,"Não","N/A",https://www.gazetadopovo.com.br/economia/10-ruas-de-comercio-tematico-em-curitiba-3b0kd9ka6wh6hn7rncm4b6nyd/
"R. GUTEMBERG","Bares e restaurantes","Trecho",0,180,"Sim","Petit Batel",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2020/1578/15780/lei-ordinaria-n-15780-2020-cria-o-polo-gastronomico-e-cultural-do-petit-batel
"R. JOSÉ DE ALENCAR","Bares e restaurantes","Trecho",2040,2360,"Sim","Alto Juvevê",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2017/1509/15098/lei-ordinaria-n-15098-2017-cria-o-polo-gastronomico-do-alto-juveve
"R. TEFFÉ","Calçados","Trecho",345,634,"Sim","Portal Teffé",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2007/1219/12190/lei-ordinaria-n-12190-2007-fica-autorizado-o-poder-executivo-a-erigir-o-portal-teffe-shopping-aberto-de-calcados
"R. RECIFE","Bares e restaurantes","Trecho",0,600,"Sim","Alto Juvevê",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2017/1509/15098/lei-ordinaria-n-15098-2017-cria-o-polo-gastronomico-do-alto-juveve
"R. JOÃO AMÉRICO DE OLIVEIRA","Bares e restaurantes","Trecho",0,250,"Sim","Alto Juvevê",https://leismunicipais.com.br/a/pr/c/curitiba/lei-ordinaria/2017/1509/15098/lei-ordinaria-n-15098-2017-cria-o-polo-gastronomico-do-alto-juveve